S/N,ACTIVITY_START_DATE,DATASET_NAME,SITE,TREATMENT,ACTIVITY_MEDIA_NAME,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
296,2016-11-09,Chemistry,Site1,none (reference/control),Lake Water,2.47,169.00,3.00,240.00,0.42,0.82,2.26,0.00,0.22,0.06,1.91,620.00,12.00,56.00,1.15,26.00,22.55,224.00,5.00,6.78,3.02,0.00,419.10,3.25,0.01
297,2016-11-09,Chemistry,Site3,none (reference/control),Lake Water,1.88,126.20,3.00,248.00,0.58,1.07,0.59,0.03,0.18,0.25,1.25,548.00,4.00,53.00,0.95,20.00,22.55,188.00,6.00,6.58,2.27,0.00,396.30,4.54,0.01
298,2017-02-24,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1496.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.01
299,2017-02-24,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,2544.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.01
300,2017-02-24,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1262.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.01
301,2017-03-21,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1079.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.01
302,2017-03-21,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1449.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.01
303,2017-03-21,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,2516.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.97,2.55,1.75,550.26,4.54,0.01
304,2017-03-22,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1113.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,6.35,2.55,1.75,550.26,4.54,0.01
305,2017-03-22,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,2528.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,4.26,2.55,1.75,550.26,4.54,0.01
306,2017-03-22,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1506.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.04,2.55,1.75,550.26,4.54,0.01
307,2017-03-23,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1134.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,6.36,2.55,1.75,550.26,4.54,0.01
308,2017-03-23,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,2537.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,4.28,2.55,1.75,550.26,4.54,0.01
309,2017-03-23,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1542.00,10.80,52.89,1.03,27.37,22.55,249.50,4.26,5.03,2.55,1.75,550.26,4.54,0.01
310,2017-05-01,Chemistry,Site3,none (reference/control),Lake Water,2.19,121.00,2.57,320.00,0.38,0.75,0.90,0.05,0.19,0.05,1.31,526.00,61.00,55.90,0.67,27.37,2.00,239.00,5.00,6.32,2.22,0.00,495.30,4.54,0.01
311,2017-05-02,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,89.20,9.41,496.00,0.00,0.52,4.28,0.00,0.10,0.27,0.84,1177.00,48.00,26.70,1.06,27.37,7.00,188.00,3.00,5.89,2.14,0.00,277.20,4.54,0.01
312,2017-05-02,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,13.33,501.00,0.30,0.76,4.08,0.00,0.22,0.42,1.31,1510.80,1.00,41.90,1.03,27.37,5.00,307.00,3.00,4.27,2.55,0.00,672.50,4.54,0.01
313,2017-05-02,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,13.00,6.85,357.00,0.00,0.31,3.38,0.01,0.05,0.17,1.34,1084.00,13.00,24.30,0.65,27.37,0.00,191.00,1.00,4.92,1.10,0.00,242.10,4.54,0.01
314,2017-05-02,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.80,2.70,267.00,0.39,0.71,2.49,0.01,0.25,0.04,2.06,594.00,45.00,37.00,1.01,27.37,0.00,231.00,2.00,6.61,2.93,0.00,357.10,4.54,0.01
315,2017-05-03,Chemistry,Site1,none (reference/control),Lake Water,2.97,163.80,3.70,265.00,0.37,0.70,2.47,0.01,0.23,0.03,1.83,603.00,43.00,52.20,0.99,27.37,0.00,225.00,4.00,6.66,2.84,0.00,432.50,3.75,0.01
316,2017-05-08,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,125.60,11.82,426.00,0.30,0.60,3.88,0.02,0.09,0.30,1.16,1243.00,18.00,24.90,1.18,27.37,12.00,295.00,4.00,6.14,2.48,0.00,469.80,4.54,0.01
317,2017-05-08,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,16.42,515.00,0.38,0.26,4.34,0.01,0.09,0.36,0.38,2030.00,0.00,47.40,0.61,27.37,20.00,252.00,5.00,4.29,0.70,0.00,683.00,4.54,0.01
318,2017-05-08,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,16.80,10.65,449.00,0.00,0.34,3.35,0.01,0.08,0.27,1.65,1168.00,27.00,17.60,0.75,27.37,15.00,238.00,5.00,4.94,1.21,0.00,259.40,4.54,0.01
319,2017-05-08,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,162.00,5.19,265.00,0.36,0.69,2.46,0.01,0.27,0.03,2.07,608.00,28.00,60.10,0.97,27.37,0.00,196.00,5.00,6.86,2.77,0.00,547.50,4.54,0.01
320,2017-05-08,Chemistry,Site4,fertilized,Lake Water,7.13,107.40,7.85,614.00,0.00,0.47,1.17,0.01,0.21,0.23,0.97,738.00,109.00,292.50,0.78,15.83,157.00,101.47,12.00,6.45,1.77,1.00,2466.00,1.50,0.00
321,2017-05-09,Chemistry,Site2,none (reference/control),Lake Water,2.42,177.20,2.40,186.00,0.36,0.58,0.70,0.05,0.19,0.00,1.32,325.00,8.00,61.80,0.64,27.37,1.00,224.00,5.00,7.05,2.90,0.00,501.50,4.54,0.01
322,2017-05-15,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,165.40,12.20,463.00,0.35,0.76,3.53,0.00,0.12,0.39,1.24,1282.00,19.00,20.20,1.43,25.60,20.00,258.00,3.00,6.33,3.15,0.00,202.50,4.54,0.01
323,2017-05-15,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,17.70,613.00,0.42,0.28,3.84,0.01,0.13,0.43,0.38,2274.00,0.00,48.40,0.67,27.00,38.00,299.00,5.00,4.25,0.75,0.00,652.60,4.54,0.01
324,2017-05-15,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.00,13.50,483.00,0.00,0.33,4.94,0.01,0.06,0.28,1.64,1183.00,50.00,17.80,0.71,16.50,25.00,319.00,3.00,5.03,1.22,0.00,337.60,4.54,0.01
325,2017-05-15,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,157.00,3.90,250.00,0.37,0.70,2.51,0.00,0.27,0.02,2.13,614.00,8.00,52.70,0.98,25.40,6.00,177.00,4.00,7.13,2.80,0.00,625.60,4.54,0.01
326,2017-05-15,Chemistry,Site3,none (reference/control),Lake Water,2.09,123.60,3.20,274.00,0.34,0.72,0.93,0.04,0.23,0.03,1.50,530.00,41.00,45.90,0.60,27.37,2.00,161.00,4.00,6.86,2.05,0.00,511.50,4.54,0.01
327,2017-05-17,Chemistry,Site1,none (reference/control),Lake Water,3.91,166.80,3.41,246.00,0.40,0.75,2.61,0.00,0.28,0.03,2.10,630.00,1.00,54.50,1.07,27.37,1.00,249.50,3.00,7.19,2.79,1.00,587.50,2.50,0.01
328,2017-05-23,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,170.80,12.82,515.00,0.35,0.79,4.63,0.00,0.11,0.40,1.11,1428.00,16.00,34.30,1.63,25.20,11.00,220.00,2.00,6.40,3.09,0.00,325.80,4.54,0.01
329,2017-05-23,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,16.68,599.00,0.46,0.31,4.72,0.01,0.10,0.46,0.23,2543.00,0.00,54.40,0.75,28.00,29.00,262.00,4.00,4.29,0.86,0.00,657.00,4.54,0.01
330,2017-05-23,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,23.60,15.50,550.00,0.00,0.37,3.83,0.01,0.00,0.33,0.31,1461.00,60.00,31.10,0.84,17.40,26.00,310.00,3.00,5.00,1.03,0.00,360.13,4.54,0.01
331,2017-05-23,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,163.00,3.39,258.00,0.42,0.71,2.40,0.00,0.28,0.02,2.08,589.00,0.00,49.00,1.07,25.00,0.00,173.00,4.00,7.17,2.67,0.00,630.50,4.54,0.01
332,2017-05-23,Chemistry,Site4,fertilized,Lake Water,11.93,97.50,6.70,322.00,0.00,0.46,0.88,0.00,0.22,0.12,1.02,661.00,15.00,189.75,0.84,15.83,0.00,172.00,16.50,6.56,1.51,1.00,1446.50,1.27,0.00
333,2017-05-24,Chemistry,Site2,none (reference/control),Lake Water,0.85,171.00,1.60,166.00,0.00,0.00,0.64,0.00,0.25,0.00,1.67,339.00,0.00,34.70,0.00,27.37,0.00,249.50,3.00,7.16,0.00,0.00,399.10,5.25,0.01
334,2017-05-29,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,229.00,16.50,575.00,0.00,0.00,3.83,0.00,0.10,0.00,0.98,1478.00,13.00,16.70,0.00,32.00,17.00,249.50,3.00,6.50,0.00,0.00,230.90,4.54,0.01
335,2017-05-29,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,18.00,617.00,0.53,0.33,4.94,0.01,0.12,0.48,0.16,2592.00,0.00,34.10,0.86,28.50,55.00,249.50,4.00,4.29,0.90,0.00,570.50,4.54,0.01
336,2017-05-29,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,31.60,21.90,673.00,0.00,0.38,3.43,0.01,0.08,0.37,0.97,1642.00,38.00,51.40,0.86,18.00,31.00,249.50,4.00,5.02,1.40,0.00,404.70,4.54,0.01
337,2017-05-29,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.00,2.30,249.00,0.40,0.71,2.40,0.00,0.27,0.02,2.07,586.00,0.00,57.90,1.08,25.50,0.00,249.50,3.00,7.18,2.68,0.00,554.50,4.54,0.01
338,2017-05-29,Chemistry,Site3,none (reference/control),Lake Water,2.27,128.40,1.80,257.00,0.00,0.00,0.81,0.00,0.22,0.00,1.54,549.00,14.00,71.70,0.00,27.37,0.00,249.50,6.00,7.11,0.00,0.00,608.00,4.54,0.01
339,2017-05-31,Chemistry,Site1,none (reference/control),Lake Water,2.62,163.00,2.90,223.00,0.00,0.00,2.56,0.00,0.25,0.00,2.15,658.00,0.00,59.70,0.00,27.37,0.00,249.50,3.00,7.14,0.00,0.00,505.50,3.25,0.01
340,2017-06-05,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,277.40,20.32,708.00,0.48,1.08,3.64,0.01,0.24,0.55,0.86,3085.00,19.00,58.90,2.19,36.00,33.00,329.00,5.00,6.61,4.32,0.00,429.40,4.54,0.01
341,2017-06-05,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,19.00,698.00,0.53,0.36,5.56,0.01,0.17,0.56,0.14,2769.00,0.00,58.90,0.93,27.90,67.00,327.00,5.00,4.32,1.09,0.00,502.00,4.54,0.01
342,2017-06-05,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,42.00,37.05,973.00,0.00,0.41,3.64,0.01,0.19,0.51,0.91,1823.00,54.00,82.80,0.95,20.00,71.00,465.00,9.00,5.02,1.56,0.00,644.50,4.54,0.01
343,2017-06-05,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,168.40,4.03,233.00,0.42,0.69,2.30,0.00,0.25,0.02,2.13,620.00,0.00,117.70,1.10,24.50,3.00,171.00,9.00,7.15,2.66,0.00,1025.50,4.54,0.01
344,2017-06-05,Chemistry,Site4,fertilized,Lake Water,3.95,85.80,7.38,344.00,0.00,0.43,0.54,0.00,0.20,0.05,1.09,659.00,0.00,139.80,0.90,15.83,3.00,99.00,18.00,6.67,1.42,0.00,996.50,1.27,0.00
345,2017-06-07,Chemistry,Site2,none (reference/control),Lake Water,0.82,177.10,2.86,216.50,0.40,0.57,0.66,0.00,0.22,0.00,1.68,370.50,0.00,41.70,0.72,27.37,1.00,208.50,4.00,7.21,2.69,0.00,368.80,5.25,0.01
346,2017-06-12,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,305.20,19.15,745.00,0.46,1.25,4.99,0.01,0.16,0.64,0.88,1729.00,34.00,51.50,2.25,38.00,34.00,408.00,7.00,6.49,4.96,0.00,500.50,4.54,0.01
347,2017-06-12,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,17.07,745.00,0.55,0.41,5.54,0.01,0.19,0.62,0.12,2981.00,0.00,54.00,0.97,30.90,68.00,346.00,5.00,4.30,1.24,0.00,452.60,4.54,0.01
348,2017-06-12,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,36.60,38.59,956.00,0.00,0.46,3.69,0.01,0.13,0.65,0.54,2341.00,26.00,61.90,0.99,19.00,59.00,415.00,6.00,4.99,1.72,0.00,550.50,4.54,0.01
349,2017-06-12,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,167.60,1.97,237.00,0.40,0.69,2.43,0.00,0.24,0.00,2.09,625.00,0.00,93.98,1.09,24.00,5.00,172.00,4.00,7.06,2.59,0.00,990.50,4.54,0.01
350,2017-06-12,Chemistry,Site3,none (reference/control),Lake Water,1.94,132.80,1.71,249.00,0.37,0.70,0.63,0.00,0.18,0.00,1.48,549.00,0.00,66.55,0.67,27.37,6.00,135.00,5.00,7.15,1.88,0.00,462.30,4.54,0.01
351,2017-06-14,Chemistry,Site1,none (reference/control),Lake Water,3.42,165.90,3.20,250.00,0.43,0.71,2.41,0.00,0.23,0.00,1.82,610.00,0.50,62.95,1.11,27.37,0.00,175.00,5.00,7.21,2.70,0.00,564.25,3.75,0.01
352,2017-06-19,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,22.60,19.94,721.00,0.00,1.15,4.89,0.00,0.09,0.75,0.50,1983.00,48.00,35.30,1.91,34.90,31.00,324.00,4.00,6.46,4.75,0.00,388.80,4.54,0.01
353,2017-06-19,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,13.41,717.00,0.45,0.41,4.59,0.01,0.16,0.59,0.05,3044.00,0.00,20.10,0.94,33.10,36.00,318.00,5.00,4.20,1.21,0.00,362.60,4.54,0.01
354,2017-06-19,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,42.60,28.76,945.00,0.00,0.48,3.64,0.01,0.15,0.65,0.46,2285.00,24.00,48.60,1.07,21.10,49.00,473.00,3.00,4.89,1.79,1.00,472.20,4.54,0.01
355,2017-06-19,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,162.30,3.81,270.00,0.43,0.70,2.37,0.00,0.48,0.02,1.91,616.50,1.50,53.80,1.11,25.90,5.50,174.50,4.00,7.29,2.15,0.00,831.25,4.54,0.01
356,2017-06-19,Chemistry,Site4,fertilized,Lake Water,16.57,93.40,8.15,340.00,0.00,0.44,0.36,0.00,0.22,0.04,0.99,650.00,0.00,289.70,0.89,15.83,3.00,100.00,21.00,6.60,1.43,0.00,1630.90,1.25,0.00
357,2017-06-20,Chemistry,Site2,none (reference/control),Lake Water,1.00,172.40,1.74,194.00,0.41,0.57,0.63,0.00,0.27,0.00,1.63,349.00,2.00,32.80,0.72,27.37,2.00,200.00,4.00,7.24,2.66,0.00,332.90,6.50,0.01
358,2017-06-26,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,222.40,15.67,712.00,0.00,1.04,5.55,0.00,0.10,0.73,0.06,2093.00,37.00,0.00,1.78,32.00,29.00,277.00,3.00,6.34,4.30,0.00,286.40,4.54,0.01
359,2017-06-26,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,12.05,649.00,0.35,0.43,4.39,0.01,0.13,0.60,0.44,3025.00,3.00,24.30,0.90,33.10,25.00,331.00,2.00,4.20,1.25,0.00,274.70,4.54,0.01
360,2017-06-26,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,43.00,21.73,834.00,0.00,0.47,4.35,0.01,0.06,0.60,0.38,2112.00,25.00,15.80,1.04,21.00,32.00,421.00,2.00,4.91,1.78,0.00,269.80,4.54,0.01
361,2017-06-26,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,163.20,2.59,250.00,0.41,0.70,2.31,0.00,0.23,0.00,1.91,612.00,3.00,56.50,1.11,25.10,3.00,171.00,3.00,7.19,2.65,0.00,579.00,4.54,0.01
362,2017-06-26,Chemistry,Site3,none (reference/control),Lake Water,1.45,128.40,2.51,233.00,0.37,0.69,0.54,0.00,0.18,0.00,1.59,545.00,3.00,43.80,0.65,27.37,2.00,136.00,3.00,7.14,1.85,0.00,407.90,4.54,0.01
363,2017-06-28,Chemistry,Site1,none (reference/control),Lake Water,1.65,167.80,2.76,240.00,0.42,0.69,2.43,0.00,0.18,0.00,1.46,597.00,1.00,41.80,1.09,27.37,3.00,178.00,2.00,7.13,2.64,1.00,382.80,3.75,0.01
364,2017-07-04,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,306.40,26.45,851.00,0.00,1.30,5.42,0.01,0.08,0.96,0.49,2074.00,89.00,57.00,2.07,38.20,37.00,374.00,3.00,6.61,5.46,0.00,723.00,4.54,0.01
365,2017-07-04,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,15.91,732.00,0.39,0.49,4.62,0.01,0.15,0.77,0.08,3512.00,3.00,21.20,0.98,33.90,34.00,367.00,1.00,4.23,1.48,0.00,311.90,4.54,0.01
366,2017-07-04,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,46.40,25.87,881.00,0.00,0.52,2.98,0.01,0.14,0.72,0.37,2182.00,8.00,52.20,1.02,19.50,28.00,385.00,2.00,5.00,1.95,0.00,423.30,4.54,0.01
367,2017-07-04,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.00,2.96,236.00,0.37,0.75,2.29,0.00,0.24,0.00,1.97,607.00,3.00,47.30,1.08,25.50,3.00,177.00,1.00,7.23,2.78,0.00,557.00,4.54,0.01
368,2017-07-04,Chemistry,Site4,fertilized,Lake Water,34.19,125.80,6.51,414.00,0.00,0.47,0.27,0.01,0.16,0.06,0.87,663.00,16.00,715.80,0.89,15.83,2.00,23.00,21.00,9.15,1.49,0.00,3384.87,1.27,0.00
369,2017-07-05,Chemistry,Site2,none (reference/control),Lake Water,0.51,175.30,2.61,201.00,0.36,0.61,0.56,0.00,0.19,0.00,1.56,327.00,2.00,28.20,0.69,27.37,5.50,206.00,1.00,7.31,2.79,0.00,260.50,6.50,0.01
370,2017-07-10,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,313.20,29.07,908.00,0.00,1.49,5.67,0.01,0.12,1.09,0.45,2174.00,82.00,89.70,1.98,42.00,43.00,176.00,4.00,6.39,5.95,1.00,884.50,4.54,0.01
371,2017-07-10,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,18.30,812.00,0.37,0.57,4.91,0.01,0.14,0.89,0.08,3558.00,2.00,109.90,0.96,35.05,40.00,486.00,5.00,4.23,1.77,0.00,1598.00,4.54,0.01
372,2017-07-10,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,48.60,30.69,912.00,0.00,0.57,2.70,0.01,0.21,0.78,0.44,2334.00,3.00,70.10,1.06,20.02,21.00,390.00,5.00,5.05,2.02,0.00,555.50,4.54,0.01
373,2017-07-10,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,164.60,9.32,227.00,0.38,0.75,2.33,0.00,0.23,0.00,1.98,609.00,0.00,68.90,1.08,21.11,2.00,445.00,4.00,7.22,2.76,0.00,467.40,4.54,0.01
374,2017-07-10,Chemistry,Site3,none (reference/control),Lake Water,1.00,129.70,1.97,223.50,0.33,0.76,0.48,0.00,0.18,0.00,1.35,550.00,0.00,59.45,0.66,27.37,2.00,142.50,1.50,7.19,1.97,0.00,427.65,4.54,0.01
375,2017-07-12,Chemistry,Site1,none (reference/control),Lake Water,1.78,168.60,4.32,259.00,0.38,0.74,2.32,0.00,0.33,0.00,1.95,619.00,2.00,57.10,1.06,27.37,2.00,249.50,3.00,7.19,2.77,0.00,344.30,4.00,0.01
376,2017-07-17,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,199.60,20.84,771.00,0.00,1.17,5.61,0.01,0.09,1.05,0.37,2428.00,25.00,53.50,1.44,29.30,28.00,280.00,6.00,6.17,4.76,0.00,643.50,4.54,0.01
377,2017-07-17,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,13.31,675.00,0.00,0.48,3.67,0.01,0.09,0.73,0.07,3239.00,0.00,30.30,0.79,36.40,30.00,359.00,4.00,4.15,1.42,0.00,348.10,4.54,0.01
378,2017-07-17,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,30.40,14.26,690.00,0.00,0.48,4.43,0.01,0.12,0.52,0.73,1905.00,4.00,47.00,0.77,21.60,27.00,392.00,2.00,4.82,1.74,0.00,233.90,4.54,0.01
379,2017-07-17,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,158.80,2.78,248.00,0.37,0.74,2.34,0.00,0.24,0.01,1.91,642.00,0.00,79.60,1.07,25.20,3.00,172.00,3.00,7.14,2.73,1.00,495.60,4.54,0.01
380,2017-07-17,Chemistry,Site4,fertilized,Lake Water,36.61,112.10,8.88,487.00,0.00,0.49,0.65,0.01,0.17,0.14,0.78,794.00,53.00,665.30,0.86,15.83,5.00,59.00,19.50,7.13,1.59,2.00,3063.50,0.75,0.00
381,2017-07-18,Chemistry,Site2,none (reference/control),Lake Water,0.86,168.20,2.80,196.00,0.38,0.60,0.61,0.00,0.19,0.00,1.52,387.00,1.00,39.30,0.69,27.37,2.00,187.00,3.00,7.20,2.74,0.00,380.90,5.00,0.01
382,2017-07-31,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,378.00,40.82,1153.00,0.36,1.80,6.52,0.01,0.19,1.47,0.43,2508.00,89.00,166.60,2.06,46.50,30.00,508.00,8.00,6.47,7.22,1.00,2312.00,4.54,0.01
383,2017-07-31,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,41.18,1094.00,0.44,0.67,5.71,0.01,0.25,1.32,0.13,4215.00,0.00,57.40,1.04,39.00,39.00,169.00,4.00,4.18,2.05,2.00,540.50,4.54,0.01
384,2017-07-31,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,51.20,26.14,952.00,0.00,0.52,3.13,0.01,0.20,0.79,0.35,2121.00,2.00,67.10,1.00,19.90,16.00,342.00,3.00,5.07,2.00,0.00,728.00,4.54,0.01
385,2017-07-31,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,166.80,4.28,261.00,0.39,0.74,2.32,0.00,0.23,0.01,1.99,587.00,1.00,52.20,1.09,25.50,1.00,163.00,2.00,7.45,2.75,1.00,654.00,4.54,0.01
386,2017-07-31,Chemistry,Site3,none (reference/control),Lake Water,0.89,117.00,3.45,289.00,0.32,0.72,0.66,0.00,0.16,0.01,1.24,604.00,1.00,53.80,0.64,27.37,5.00,125.00,2.00,6.97,1.83,1.00,451.70,4.54,0.01
387,2017-08-02,Chemistry,Site1,none (reference/control),Lake Water,1.36,163.60,2.27,255.00,0.40,0.75,2.31,0.01,0.25,0.00,1.96,630.00,1.00,65.20,1.10,27.37,3.00,166.00,5.00,7.20,2.79,1.00,485.60,3.50,0.01
388,2017-08-08,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,345.80,30.11,915.00,0.34,1.57,6.82,0.01,0.17,1.19,0.44,1875.00,87.00,86.50,1.93,41.90,33.00,537.00,7.00,6.52,6.17,1.00,954.70,4.54,0.01
389,2017-08-08,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,52.82,1167.00,0.46,0.67,5.47,0.02,0.22,1.37,0.09,4538.00,0.00,56.90,0.94,39.70,66.00,355.00,5.00,4.09,2.01,2.00,612.00,4.54,0.01
390,2017-08-08,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,45.20,21.47,808.00,0.00,0.53,3.66,0.01,0.12,0.81,0.33,2157.00,2.00,45.80,0.93,19.20,16.00,381.00,4.00,5.05,1.92,0.00,658.00,4.54,0.01
391,2017-08-08,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,162.20,2.78,252.00,0.38,0.74,2.33,0.00,0.22,0.00,1.94,611.00,1.00,51.40,1.11,24.60,2.00,161.00,4.00,7.18,2.70,0.00,498.00,4.54,0.01
392,2017-08-08,Chemistry,Site4,fertilized,Lake Water,15.05,87.40,9.45,448.00,0.00,0.46,0.47,0.00,0.17,0.04,0.67,689.00,0.00,216.70,0.89,15.83,5.00,48.00,15.00,7.14,1.50,1.00,1552.60,1.50,0.00
393,2017-08-09,Chemistry,Site2,none (reference/control),Lake Water,1.03,169.20,2.30,212.00,0.39,0.60,0.56,0.00,0.21,0.00,1.52,376.00,3.00,33.70,0.71,27.37,9.00,185.00,2.00,7.30,2.73,0.00,365.80,6.25,0.01
394,2017-08-14,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,56.80,24.36,821.00,0.00,0.54,3.56,0.01,0.10,0.83,0.33,2221.00,1.00,79.00,0.96,19.50,15.00,359.00,5.00,5.13,2.04,0.00,965.50,4.54,0.01
